movie_id,primary_title,genres,runtime_minutes,averagerating
tt0063540,Sunghursh,"Action,Crime,Drama",175.0,7.0
tt0066787,One Day Before the Rainy Season,"Biography,Drama",114.0,7.2
tt0069049,The Other Side of the Wind,Drama,122.0,6.9
tt0069204,Sabse Bada Sukh,"Comedy,Drama",,6.1
tt0100275,The Wandering Soap Opera,"Comedy,Drama,Fantasy",80.0,6.5
tt0112502,Bigfoot,"Horror,Thriller",,4.1
tt0137204,Joe Finds Grace,"Adventure,Animation,Comedy",83.0,8.1
tt0146592,Pál Adrienn,Drama,136.0,6.8
tt0154039,So Much for Justice!,History,100.0,4.6
tt0159369,Cooper and Hemingway: The True Gen,Documentary,180.0,7.6
tt0162942,Children of the Green Dragon,Drama,89.0,6.9
tt0170651,T.G.M. - osvoboditel,Documentary,60.0,7.5
tt0176694,The Tragedy of Man,"Animation,Drama,History",160.0,7.8
tt0192528,Heaven & Hell,Drama,104.0,4.0
tt0230212,The Final Journey,Drama,120.0,8.8
tt0247643,Los pájaros se van con la muerte,"Drama,Mystery",110.0,4.0
tt0249516,Foodfight!,"Action,Animation,Comedy",91.0,1.9
tt0250404,Godfather,"Crime,Drama",,6.7
tt0253093,Gangavataran,,134.0,6.6
tt0255820,Return to Babylon,"Biography,Comedy,Drama",75.0,5.9
tt0262218,Akakis mogzauroba,Documentary,44.0,7.8
tt0263814,On kadin,Drama,,7.1
tt0276568,To Chase a Million,"Action,Drama",97.0,7.4
tt0277964,Prague: The Restless Heart of Europe,"Documentary,History",59.0,7.0
tt0283440,Short Time Heroes,Sci-Fi,45.0,6.6
tt0285252,Life's a Beach,Comedy,100.0,3.9
tt0285423,Abolição,Documentary,,7.4
tt0293069,Dark Blood,Thriller,86.0,6.6
tt0297400,Snowblind,"Crime,Drama",,6.7
tt0306058,Second Coming,,95.0,5.5
tt0312305,Quantum Quest: A Cassini Space Odyssey,"Adventure,Animation,Sci-Fi",45.0,5.1
tt0315642,Wazir,"Action,Crime,Drama",103.0,7.1
tt0323808,The Wicker Tree,"Drama,Horror",96.0,3.9
tt0326592,The Overnight,,88.0,7.5
tt0326965,In My Sleep,"Drama,Mystery,Thriller",104.0,5.5
tt0328810,My Land,"Drama,Family",102.0,7.9
tt0329539,Rice Girl,"Adventure,Comedy,Romance",95.0,6.1
